,,,,,,,
만 0~5세,예) 1,,,,,예) 음식 추천 등,
아이 나이,월별,사회성 / 감정,언어 / 소통,"인지 (학습, 사고, 문제 해결)",움직임 / 신체 발달,그 외 (Tip),자료 출처*
,15,,,,스스로 몇 가지 조치를 취한다,,cdc
,15,,,,손가락을 사용하여 스스로 음식을 먹는다,,cdc
18개월,18,상대에게서 한 발짝 물러나지만 상대가 가까이 있는지 확인한다,,,,,cdc
,18,흥미로운 것을 가리켜서 상대에게 알려준다,,,,,cdc
,18,손을 씻어줄 수 있도록 손을 내민다,,,,,cdc
,18,책의 몇 페이지를 함께 본다,,,,,cdc
,18,팔을 소매 안으로 밀어넣거나 발을 들어 올려 옷을 입히기 쉽도록 돕는다,,,,,cdc
,18,,"""마마"", ""빠빠"" 이외에 3개 이상의 단어를 말하려고 한다",,,,cdc
,18,,"몸짓 없이 단순한 1단계 지시를 따른다 (예: ""이리 줘""라고 하면 장난감을 준다)",,,,cdc
,18,,,빗자루 청소와 같은 집안일을 따라한다,,,cdc
,18,,,장난감 차 밀기와 같은 간단한 방식으로 장난감을 가지고 논다,,,cdc
,18,,,,다른 사람이나 물건을 잡지 않고 혼자 걷는다,,cdc
,18,,,,낙서를 한다,,cdc
,18,,,,뚜껑이 없는 컵으로 물을 마시며 때때로 쏟을 수 있다,,cdc
,18,,,,손가락으로 직접 먹는다,,cdc
,18,,,,숟가락 사용을 시도한다,,cdc
,18,,,,도움 없이 소파나 의자에 오르내린다,,cdc
24개월(2년),24,"누군가 울 때 잠시 멈추거나 슬퍼 보이는 것처럼, 다른 사람이 다치거나 화가 날 때 알아차린다",,,,,cdc
,24,새로운 상황에서 어떻게 반응할지 보기 위해 상대의 얼굴을 바라본다,,,,,cdc
,24,,"""곰이 어디에 있지?""와 같이 질문하면 책의 사물을 가리킨다",,,,cdc
,24,,“우유 더”와 같이 적어도 두 단어를 함께 말한다,,,,cdc
,24,,보여 달라고 하면 최소 두 개의 신체 부위를 가리킨다,,,,cdc
,24,,"손 흔들기나 가리키기 외에도 다양한 몸짓을 사용한다 (예: 키스 보내기, 고개 끄덕이기)",,,,cdc
,24,,,한 손을 사용하는 동안 다른 한 손으로 무엇인가를 잡는다 (예: 용기를 잡고 뚜껑 열기),,,cdc
,24,,,"장난감의 스위치, 손잡이 또는 버튼을 사용하려 시도한다",,,cdc
,24,,,동시에 두 개 이상의 장난감을 가지고 논다 (예: 장난감 접시에 음식 올리기),,,cdc
,24,,,,공을 찬다,,cdc
,24,,,,뛴다,,cdc
,24,,,,도움을 받거나 받지 않고 몇 계단을 걸어 올라간다 (기어 올라가지 않음),,cdc
,24,,,,숟가락으로 먹는다,,cdc
30개월,30,다른 아이들 옆에서 놀며 때때로 함께 놀기도 한다,,,,,cdc
,30,"""나를 봐!""라고 말함으로써 자신이 무엇을 할 수 있지 보여준다",,,,,cdc
,30,"""치우자.""라고 말할 때 장난감을 치우도록 돕는 등 말을 들으면 간단한 일상을 따른다",,,,,cdc
,30,,약 50개의 단어를 말한다,,,,cdc
,30,,"""강아지가 달린다""와 같이 하나의 동작 단어와 함께 두 개 이상의 단어를 말한다",,,,cdc
,30,,"""이게 뭐지?""라고 가리키면서 물을 때 책에 있는 것의 이름을 말한다",,,,cdc
,30,,"""내가"", ""나"" 또는 ""우리""와 같은 단어를 말한다",,,,cdc
,30,,,마치 블록이 음식인 것처럼 인형에게 먹이는 것과 같이 물건을 사용하여 시늉을 한다,,,cdc
,30,,,무엇에 닿기 위해 작은 의자에 올라서는 것과 같은 간단한 문제 해결 능력을 보인다,,,cdc
,30,,,"""장난감을 내려놓고 문을 닫아""와 같은 2단계의 지침을 따른다",,,cdc
,30,,,“어떤 색이 빨간색이지?”라고 물으면 빨간 크레용을 가리키는 것과 같이 최소한 한 가지 색을 알고 있음을 보여준다,,,cdc
,30,,,,문 손잡이를 돌리거나 뚜껑을 여는 등 손을 사용하여 물건을 돌린다,,cdc
,30,,,,헐렁한 바지나 단추없는 재킷과 같은 일부 옷을 스스로 벗는다,,cdc
,30,,,,두 발로 땅에서 뛴다,,cdc
,30,,,,책을 읽어줄 때 페이지를 한 번에 하나씩 넘긴다,,cdc
36개월(3년),36,어린이집에 데려다 줄 때와 같이 아이와 헤어진 후 10분 이내에 진정된다,,,,,cdc
,36,다른 아이들을 의식하여 함께 논다,,,,,cdc
