"만 0~6세
- 개월수로 맞추기
",,,,,,,,,,,,,https://www.notion.so/UX-_-33bb0573f8e2805cb57ce856c4417514?source=copy_link
"예)
16개월 -> 16",효과를 단어로 (요약),예) 5분 -> 5,예) 10분 아이컨텍,상세 미션 설명,예) 정서적 안정감,사회성 / 언어 / 인지 / 신체 발달,,이미지 나중에 추가로,,,,,"울타리형 / 가이드형 / 친구형 / 자율존중형

예)"
아이 나이,목표,미션 수행 길이,오늘의 미션,미션 상세 설명,효과,성장 카테고리,자료 출처*,,,[태그1] 카테고리,자료 출처,,부모 유형
,,,,,,,,,,#사회성,CDC (미국 질병통제예방센터) — 발달 마일스톤 공식 기준,,
,,,,,,,,,,#언어,AAP (미국소아과학회) — 소아 언어 발달 가이드,,
,,,,,,,,,,#인지,ASHA (미국 언어청각협회) — 수용/표현 언어 발달 기준,,
,,,,,,,,,,#신체 발달,WHO — 글로벌 아동 발달 마일스톤,,
,,,,,,,,,,,"Tomasello, Bates, Bruner, Fenson 등 — 발달심리학·언어획득 분야 핵심 학술 문헌",,
